startTimePeriod,CumDensity,long,lat
16/12/2015 10:00,15,103.84431244,1.205993964
16/12/2015 10:00,3,103.827768,1.1950361
16/12/2015 10:00,3,103.842686589,1.22000625581
16/12/2015 10:00,34,103.866077287,1.23489072813
16/12/2015 10:00,7,103.8908154,1.2251638
16/12/2015 10:00,52,103.781687126,1.24992529706
16/12/2015 10:00,12,103.834607256,1.2624825623
16/12/2015 10:00,2,103.842808537,1.24088895
16/12/2015 10:00,5,103.90070906,1.2465435
16/12/2015 10:00,11,103.914981055,1.27286721818
16/12/2015 10:00,11,103.941129968,1.26927516
16/12/2015 10:00,1,103.956585,1.260779
16/12/2015 10:00,6,104.1065086,1.294083
16/12/2015 10:00,5,104.118346,1.315082
16/12/2015 10:00,5,103.889697233,1.4371387
17/12/2015 3:00,1,103.6012167,1.2151
17/12/2015 3:00,1,103.866077287,1.23489072813
17/12/2015 10:00,1,103.781687126,1.24992529706
17/12/2015 12:00,1,103.783123612,1.2253900353
17/12/2015 15:00,1,103.6012167,1.2151
17/12/2015 15:00,6,103.6602458,1.20948365455
17/12/2015 15:00,6,103.73179653,1.24227702603
17/12/2015 15:00,6,103.759984277,1.24684895909
17/12/2015 15:00,6,103.74584592,1.27198656
17/12/2015 15:00,11,103.652038186,1.24502212143
17/12/2015 15:00,7,103.783123612,1.2253900353
17/12/2015 15:00,2,103.827768,1.1950361
17/12/2015 15:00,2,103.844459175,1.21065215357
17/12/2015 15:00,2,103.8308536,1.205313445
17/12/2015 15:00,2,103.819281588,1.2062461125
17/12/2015 15:00,2,103.84431244,1.205993964
17/12/2015 15:00,4,103.781687126,1.24992529706
17/12/2015 15:00,2,103.834607256,1.2624825623
17/12/2015 15:00,1,103.866077287,1.23489072813
17/12/2015 15:00,1,103.8908154,1.2251638
17/12/2015 15:00,5,103.90070906,1.2465435
17/12/2015 15:00,2,103.914981055,1.27286721818
17/12/2015 15:00,2,103.941129968,1.26927516
17/12/2015 16:00,2,103.844459175,1.21065215357
17/12/2015 16:00,2,103.8308536,1.205313445
17/12/2015 16:00,2,103.819281588,1.2062461125
17/12/2015 16:00,2,103.84431244,1.205993964
17/12/2015 19:00,12,103.6012167,1.2151
17/12/2015 19:00,12,103.6580097,1.2004558
17/12/2015 19:00,164,103.6602458,1.20948365455
17/12/2015 19:00,164,103.73179653,1.24227702603
17/12/2015 19:00,164,103.759984277,1.24684895909
17/12/2015 19:00,164,103.74584592,1.27198656
17/12/2015 19:00,42,103.652038186,1.24502212143
17/12/2015 19:00,5,103.78145,1.1744146
17/12/2015 19:00,70,103.783123612,1.2253900353
17/12/2015 19:00,34,103.844459175,1.21065215357
17/12/2015 19:00,34,103.8308536,1.205313445
17/12/2015 19:00,34,103.819281588,1.2062461125
17/12/2015 19:00,34,103.84431244,1.205993964
17/12/2015 19:00,8,103.827768,1.1950361
17/12/2015 19:00,1,103.842686589,1.22000625581
17/12/2015 19:00,52,103.866077287,1.23489072813
17/12/2015 19:00,13,103.8908154,1.2251638
17/12/2015 19:00,92,103.781687126,1.24992529706
17/12/2015 19:00,12,103.834607256,1.2624825623
17/12/2015 19:00,7,103.842808537,1.24088895
17/12/2015 19:00,10,103.90070906,1.2465435
17/12/2015 19:00,31,103.914981055,1.27286721818
17/12/2015 19:00,31,103.941129968,1.26927516
17/12/2015 19:00,7,103.956585,1.260779
17/12/2015 19:00,4,104.1065086,1.294083
17/12/2015 19:00,6,104.118346,1.315082
17/12/2015 19:00,6,103.889697233,1.4371387
17/12/2015 20:00,8,103.6012167,1.2151
17/12/2015 20:00,11,103.6580097,1.2004558
17/12/2015 20:00,127,103.6602458,1.20948365455
17/12/2015 20:00,127,103.73179653,1.24227702603
17/12/2015 20:00,127,103.759984277,1.24684895909
17/12/2015 20:00,127,103.74584592,1.27198656
17/12/2015 20:00,56,103.652038186,1.24502212143
17/12/2015 20:00,4,103.78145,1.1744146
17/12/2015 20:00,79,103.783123612,1.2253900353
17/12/2015 20:00,56,103.844459175,1.21065215357
17/12/2015 20:00,56,103.8308536,1.205313445
17/12/2015 20:00,56,103.819281588,1.2062461125
17/12/2015 20:00,56,103.84431244,1.205993964
17/12/2015 20:00,10,103.827768,1.1950361
17/12/2015 20:00,4,103.842686589,1.22000625581
17/12/2015 20:00,66,103.866077287,1.23489072813
17/12/2015 20:00,12,103.8908154,1.2251638
17/12/2015 20:00,81,103.781687126,1.24992529706
17/12/2015 20:00,18,103.834607256,1.2624825623
17/12/2015 20:00,6,103.842808537,1.24088895
17/12/2015 20:00,10,103.90070906,1.2465435
17/12/2015 20:00,39,103.914981055,1.27286721818
17/12/2015 20:00,39,103.941129968,1.26927516
17/12/2015 20:00,4,103.956585,1.260779
17/12/2015 20:00,9,104.1065086,1.294083
17/12/2015 20:00,9,104.118346,1.315082
17/12/2015 20:00,9,103.889697233,1.4371387
17/12/2015 21:00,2,103.6012167,1.2151
17/12/2015 21:00,47,103.6602458,1.20948365455
17/12/2015 21:00,47,103.73179653,1.24227702603
17/12/2015 21:00,47,103.759984277,1.24684895909
17/12/2015 21:00,47,103.74584592,1.27198656
17/12/2015 21:00,1,103.6580097,1.2004558
17/12/2015 21:00,28,103.652038186,1.24502212143
17/12/2015 21:00,15,103.783123612,1.2253900353
17/12/2015 21:00,7,103.844459175,1.21065215357
17/12/2015 21:00,7,103.8308536,1.205313445
17/12/2015 21:00,7,103.819281588,1.2062461125
17/12/2015 21:00,7,103.84431244,1.205993964
17/12/2015 21:00,2,103.827768,1.1950361
17/12/2015 21:00,2,103.842686589,1.22000625581
17/12/2015 21:00,17,103.866077287,1.23489072813
17/12/2015 21:00,2,103.8908154,1.2251638
17/12/2015 21:00,20,103.781687126,1.24992529706
17/12/2015 21:00,10,103.834607256,1.2624825623
17/12/2015 21:00,4,103.90070906,1.2465435
17/12/2015 21:00,14,103.914981055,1.27286721818
17/12/2015 21:00,14,103.941129968,1.26927516
17/12/2015 21:00,4,103.956585,1.260779
17/12/2015 21:00,2,104.1065086,1.294083
17/12/2015 21:00,7,104.118346,1.315082
17/12/2015 21:00,7,103.889697233,1.4371387
17/12/2015 22:00,4,103.6012167,1.2151
17/12/2015 22:00,17,103.652038186,1.24502212143
17/12/2015 22:00,48,103.6602458,1.20948365455
